,SearchID,Speaker,LeftContext,RightContext,C1,C2,Schwa,C3,Codes,City,Discourse,Schwa,Word,Left,Right,Sex,Region,Zone,SchwaBin
54374,362,cqacp1,de1112 gloire0412 de,"Beaulieu ataient son vin blanc,",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54376,364,cqacp2,PO: Quelque,s fanatique0414s auraient mame0411 entama un je,l,k,ə,f,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54383,371,cqacp2,ue1112 des activiste,s des commune0412s voisine0412s prapare0411nt une,s,t,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54387,375,cqacp2,"L'Express0413, Ouest",Liberta et Le1112 Nouvel0411 Observateur0413,s,t,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54391,379,cqacp2,quelque1422s article,"s parus dans La Dapache0412 du Centre1423, L'Exp",k,l,ə,p,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54392,380,cqacp2,"De1132 plus, quelque",s article1422s parus dans La Dapache0412 du Cent,l,k,ə,z,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54398,386,cqacp2,jaloux de1112 notre,liberta.,t,R,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54400,388,cqacp2,Un jeune0412 membre,de1112 l'opposition aurait daclara: Dans le0112,b,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54403,391,cqacp2,s d'identita risque,nt de1112 provoquer une0411 explosion.,s,k,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54410,398,cqacp2,est fait pour0412 le,protager.,R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54413,401,cqacp2,et s'assure0412 que,tout est fait pour0412 le1122 protager.,R,k,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54417,405,cqacp2,"423, le1132 gouverne",ment prend contact0421 avec0412 la prafecture0412,R,n,ə,m,1322,Quebec ville (universite),read,yes,polysyl2,C,C,M,Quebec,Canada,1
54422,410,cqacp2,PO: D'un autre,"cata, a chaque0412 voyage0412 du Premier Minis",t,R,ə,k,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54435,423,cqacp2,ne1132 cesse0412 de,baisser de1212puis les alections.,s,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54439,427,cqacp2,Le1132 maire0412 de,"Beaulieu, Marc0422 Blanc, est en re1212vanche0412",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54440,428,cqacp2,"e1122 Beaulieu, Marc","Blanc, est en re1212vanche0412 tres inquiet. La",R,k,ə,b,0422,Quebec ville (universite),read,no,polysylend,C,C,M,Quebec,Canada,0
54448,436,cqacp2,ut dacouvrir0412 ce,"qu'il0411 appelle1414 \\""la campagne0412 profonde0""",R,s,ə,k,0122,Quebec ville (universite),read,no,monosyl,C,C,M,Quebec,Canada,0
54454,442,cqacp2,PO: car0412 le,"Premier Ministre0423, lassa des circuits habitue",R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54464,452,cqacp2,ux olympique1412s de,"Berlin en mille0412 neuf cent trente0412 six0413,",k,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54468,456,cqacp2,de1112 gloire0414 de,"Beaulieu ataient son vin blanc sec0413,",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54473,461,cqacp2,les seul0412s titre,s de1112 gloire0414 de1122 Beaulieu ataient son v,t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54478,466,cqags1,les seul0412s titre,s de1112 gloire0412 de1122 Beaulieu ataient son v,t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54484,472,cqags1,e1132 village0412 de,Beaulieu est en grand amoi.,ʒ,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54499,487,cqajr1,ue0112 des activiste,s des commune0412s voisine0414s prapare0411nt une,s,t,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54530,518,cqajr1,est fait pour0412 le,protager.,R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54532,520,cqajr1,et s'assure0412 que,tout est fait pour0412 le1122 protager.,R,k,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54539,527,cqajr1,JR: le1132 gouverne,ment prend contact0421 avec0412 la prafecture0412,R,n,ə,m,1322,Quebec ville (universite),read,yes,polysyl2,C,C,F,Quebec,Canada,1
54542,530,cqajr1,JR: D'un autre,"cata, a chaque0412 voyage0412 du Premier Minis",t,R,ə,k,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54556,544,cqajr1,ne1122 cesse0412 de,baisser de1212puis les alections.,s,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54558,546,cqajr1,mier Ministre0424 ne,cesse0412 de1122 baisser de1212puis les alection,R,n,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54563,551,cqajr1,Le1132 maire0412 de,"Beaulieu, Marc0422 Blanc, est en re1212vanche0412",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54564,552,cqajr1,"e1122 Beaulieu, Marc","Blanc, est en re1212vanche0412 tres inquiet.",R,k,ə,b,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
54567,555,cqajr1,ut dacouvrir0412 ce,"qu'il appelle0414 \\""la campagne0412 profonde0413\""""",R,s,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54574,562,cqajr1,"0312ment, car0412 le","Premier Ministre0423, le, lass/",R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54583,571,cqajr1,"nt, son usine0412 de",pates0411 italiennes0413.,n,d,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54591,579,cqajr1,ux olympique0412s de,"Berlin en mille0412 neuf cent trente0412 six0413,",k,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54594,582,cqajr1,de1112 gloire0412 de,"Beaulieu ataient son vin blanc sec0413, ses che0",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54598,586,cqajs1,"De1132 plus, quelque",s article1422s parus dans La Dapache0412 du Cent,l,k,ə,z,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54599,587,cqajs1,quelque1422s article,"s parus dans La Dapache0412 du Centre0424, L'Exp",k,l,ə,p,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54603,591,cqajs1,"L'Express0413, Ouest",Liberta et Le1112 Nouvel0411 Observateur0413,s,t,ə,l,0422,Quebec ville (universite),read,no,polysylend,C,C,M,Quebec,Canada,0
54618,606,cqajs1,Un jeune0412 membre,de1112 l'opposition aurait daclara:,b,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54625,613,cqajs1,s d'identita risque,nt de1112 provoquer une0411 explosion.,s,k,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54630,618,cqajs1,et s'assure0412 que,tout est fait pour0412 le1122 protager.,R,k,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54631,619,cqajs1,est fait pour0412 le,protager.,R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54637,625,cqajs1,JF: D'un autre,"cata, a chaque0412 voyage0412 du Premier Minis",t,R,ə,k,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54640,628,cqajs1,bor0412ds manifeste,nt leur0412 colere0413.,s,t,ə,l,0422,Quebec ville (universite),read,no,polysylend,C,C,M,Quebec,Canada,0
54652,640,cqajs1,mier Ministre0412 ne,cesse0412 de1122 baisser de1212puis les alection,R,n,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54654,642,cqajs1,ne1122 cesse0412 de,baisser de1212puis les alections.,s,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54662,650,cqajs1,"1122 Beaulieu, Marc",Blanc est en re1212vanche0412 tres inquiet.,R,k,ə,b,0422,Quebec ville (universite),read,no,polysylend,C,C,M,Quebec,Canada,0
