,SearchID,Speaker,LeftContext,RightContext,C1,C2,Schwa,C3,Codes,City,Discourse,Schwa,Word,Left,Right,Sex,Region,Zone,SchwaBin
126268,906,cqacp2,"212puis euh, quelque",s annaes on raussit a vendre0412 le1122 mois de,l,k,ə,z,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
126270,908,cqacp1,sur0412 ces article,sla,k,l,ə,l,1422,Quebec ville (universite),guided,yes,polysylend,C,C,F,Quebec,Canada,1
126276,914,cqams1,2 que1122 je0112 fai,"sais c'est que euh, pour0413, pas qu'ils soient in",ʒ,f,ə,z,1222,Quebec ville (universite),guided,yes,polysyl1,C,C,F,Quebec,Canada,1
126279,917,cqams1,"puis euh, ce0132 que","je0112 fai1222sais c'est que euh, pour0413, pas q",s,k,ə,ʒ,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126284,922,cqamg1,je0132 dis on parce,"que0411 euh,",R,s,ə,k,0322,Quebec ville (universite),guided,no,polysyl2,C,C,F,Quebec,Canada,0
126287,925,cqamg1,MG: donc0412 je,"vais observer comment les sons sont adaptas euh,",k,ʒ,ə,v,0122,Quebec ville (universite),guided,no,monosyl,C,C,F,Quebec,Canada,0
126310,948,cqaab1,e1122 Trasor0412 de,la Langue0412 Franaaise0412 (de) l'autre0412 ca,R,d,ə,l,0122,Quebec ville (universite),guided,no,monosyl,C,C,F,Quebec,Canada,0
126318,956,cqaab1,232marquez je0112 me,suis rendue jusqu'a l'universita comme0412 aa,ʒ,m,ə,s,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126346,984,cqacp1,u'ils mette0412nt le,maame0412 symbole0412 que1122 pour0412 l'anglais,t,l,ə,m,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126396,1035,cqags1,la au cagep0412 de,"Sainte0312Foi,",p,d,ə,s,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126406,1045,cqags1,ait des cour0412s de,"formation classique0412 aussi,",R,d,ə,f,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126408,1047,cqags1,ui atait a quelque,s rues de0112 chez moi seule0312ment.,l,k,ə,R,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
126413,1052,cqajr1,"En, science0412s de",la nature0413.,s,d,ə,l,0122,Quebec ville (universite),guided,no,monosyl,C,C,F,Quebec,Canada,0
126418,1057,cqajr1,"mais bon, je0132 me","donne0411 euh, jusqu'au trente0411 avril pour0412",ʒ,m,ə,d,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126428,1067,cqajr1,"oup, ma mere0412 ve","nait de0112 SaintPaul0312laCroix, qui est un vi",R,v,ə,n,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126435,1075,cqajs1,mme0412 les n0412 de,"nagation, les tu sais.",n,d,ə,n,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126436,1076,cqajs1,les erreur0412s que,"j'ai fait,",R,k,ə,ʒ,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126442,1082,cqajs1,as l'habitude0412 de,"lire0413, ou maame0412 dire0413.",d,d,ə,l,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126444,1084,cqajs1,je0112 pense0412 que,"vous avez raison on l'acrit avec0411 un e, ou de",s,k,ə,v,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126449,1089,cqajs1,JF: Ca parle,d'une0412 raalita franaaise0412 la mais euh.,R,l,ə,d,0422,Quebec ville (universite),guided,no,polysylend,C,C,M,Quebec,Canada,0
126457,1097,cqajs1,semb0452le (que) je,connais le1112 tit0454re Le1132 Nouvel Observateu,?,ʒ,ə,k,0122,Quebec ville (universite),guided,no,monosyl,C,C,M,Quebec,Canada,0
126460,1100,cqajs1,"l'Express0413, Ouest","Liberta, Le1132 Nouvel Observateur0413,",s,t,ə,l,0422,Quebec ville (universite),guided,no,polysylend,C,C,M,Quebec,Canada,0
126485,1125,cqamg1,411 a l'age0412 de,"quatorze0421 ans euh, on est damanagas dans la",ʒ,d,ə,k,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126497,1137,cqamg1,"nts, vienne0412nt de",Quabec0413.,n,d,ə,k,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126510,1150,cqams1,412 des base0412s de,donnaes importante0412s la ici les emprunts il,z,d,ə,d,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126511,1151,cqams1,MS: Ce0132 que,"j'ai dacouver0413t, ben comme0412 dans tous les",s,k,ə,ʒ,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126514,1154,cqams1,ute0412 sorte0422 de,"de1212vinettes disons que2112 leur, leur1142 fair",t,d,ə,d,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126517,1157,cqams1,'est un cour0412s de,"trois ans, qu'on fait au niveau collagial0413, p",R,d,ə,t,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126519,1159,cqams1,MS: toute0412 sorte,"de1122 de1212vinettes disons que2112 leur, leur11",R,t,ə,d,0422,Quebec ville (universite),guided,no,polysylend,C,C,F,Quebec,Canada,0
126521,1161,cqams1,1422 l'acole1412 se,condaire0411 et l'universita.,l,s,ə,k,1222,Quebec ville (universite),guided,yes,polysyl1,C,C,F,Quebec,Canada,1
126531,1171,cqamt1,"e0131 euh, je0132 me","praoccupe0412 pas de0112 l'heure0412 qu'il est,",ʒ,m,ə,p,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126534,1174,cqamt1,"MT: Oui, je0132 le",fais.,ʒ,l,ə,f,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126562,1202,cqacp1,"0413s, parce0322 que",tu,s,k,ə,t,1422,Quebec ville (universite),guided,yes,polysylend,C,C,F,Quebec,Canada,1
126563,1203,cqacp1,"apreuve0413s, parce",que1422 tu,R,s,ə,k,0322,Quebec ville (universite),guided,no,polysyl2,C,C,F,Quebec,Canada,0
126571,1211,cqacp1,0412 la peine0412 de,"vraiment soigner un article0423, de1132 vraiment",n,d,ə,v,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126580,1220,cqacp2,alor0412s je0122 me,"dis bon alor0411s euh,",ʒ,m,ə,d,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126581,1221,cqacp2,"s rien, alor0412s je","me1122 dis bon alor0411s euh,",R,ʒ,ə,m,0122,Quebec ville (universite),guided,no,monosyl,C,C,M,Quebec,Canada,0
126586,1226,cqacp2,nt les ganativiste,"s franaais, je1132 connais plutat les amaricain",s,t,ə,f,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
126596,1236,cqags1,neuf0412 cent quatre,vingt.,t,R,ə,v,0322,Quebec ville (universite),guided,no,polysyl2,C,C,M,Quebec,Canada,0
126603,1243,cqags1,122 rapproche0412 le,"micro ou euh.> Ca va la,",S,l,ə,m,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126605,1245,cqags1,ux que1112 je0112 te,"rapproche0412 le1122 micro ou euh.> Ca va la,",ʒ,t,ə,R,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126619,1260,cqajs1,422 aa parle0422 de,commune0413.,l,d,ə,k,1122,Quebec ville (universite),guided,yes,monosyl,C,C,M,Quebec,Canada,1
126620,1261,cqajs1,22 que1422 aa parle,de1122 commune0413.,R,l,ə,d,0422,Quebec ville (universite),guided,no,polysylend,C,C,M,Quebec,Canada,0
126621,1262,cqajs1,": Euh, parce0322 que",aa parle0422 de1122 commune0413.,s,k,ə,s,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
126622,1263,cqajs1,"JF: Euh, parce",que1422 aa parle0422 de1122 commune0413.,R,s,ə,k,0322,Quebec ville (universite),guided,no,polysyl2,C,C,M,Quebec,Canada,0
126625,1266,cqamg1,ents vienne0412nt de,"Quab/ euh, mon pere0411 est na a Verdun mais",n,d,ə,k,0122,Quebec ville (universite),guided,no,monosyl,C,C,F,Quebec,Canada,0
126632,1273,cqamg1,12 quatorze0422 mars,mille0412 neuf0412 cent soixante0412 seize0412.,R,s,ə,m,0422,Quebec ville (universite),guided,no,polysylend,C,C,F,Quebec,Canada,0
126633,1274,cqamg1,nae le1112 quatorze,mars0422 mille0412 neuf0412 cent soixante0412 sei,R,z,ə,m,0422,Quebec ville (universite),guided,no,polysylend,C,C,F,Quebec,Canada,0
126637,1278,cqams1,it mon acole0412 se,"condaire0412 dans un, college2411 euh, francophon",l,s,ə,g,1222,Quebec ville (universite),guided,yes,polysyl1,C,C,F,Quebec,Canada,1
126644,1285,cqams1,dans la ville0412 de,Quabec0414. Oui.,l,d,ə,k,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126666,1308,cqajs1,est notre0412 propre,"langue0411 a nous,",p,R,ə,l,1422,Quebec ville (universite),guided,yes,polysylend,C,C,M,Quebec,Canada,1
126681,1323,cqamg1,des atude0412s que,du travail0413.,d,k,ə,d,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
126686,1328,cqamt1,MT: je0132 me,sentirais moins sacure0412 la. Ouais.,ʒ,m,ə,s,1122,Quebec ville (universite),guided,yes,monosyl,C,C,F,Quebec,Canada,1
187573,2,cqamt1,: Ils peuve0412nt me,conseiller euh.,v,m,ə,k,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187586,15,cqamg1,412 euh juste0422 le,"logiciel0413, tu as rien,",t,l,ə,l,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187596,25,cqags1,ils appellen0412t le,"football0412 labas le0112 football0411 euh, c'e",l,l,ə,f,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
187602,31,cqaab1,un cafa ou quelque,chose0412,l,k,ə,S,1322,Quebec ville (universite),free,yes,polysyl2,C,C,F,Quebec,Canada,1
187611,40,cqamg1,s de0112 base0412 de,"donnaes,",z,d,ə,d,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187648,78,cqaab1,0132 faut que0112 ce,soit,k,s,ə,s,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187663,93,cqaab1,ami. Estce0312 que,tu vas trouver que0112 la fille0412 c'est une0412,s,k,ə,t,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187667,97,cqaab1,1 ou quoi que0112 ce,"soit, ce0132 qu'il atait d'accor0413d. (pause)",k,s,ə,s,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187696,127,cqags1,ait pas celle0412 de,"Malanie, mais une0411 aide0412 quand maame0413.",l,d,ə,m,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
187707,138,cqags1,compatente0412 que,"moi euh, en informatique0413.",t,k,ə,m,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
187712,143,cqags1,des service0412s de,"Malanie euh,",s,d,ə,m,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
187714,145,cqags1,je0112 pense0412 que,"nos goats euh,",s,k,ə,n,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
187719,150,cqags1,GS: On parle,beaucoup de0112 cinama aussi,R,l,ə,b,0422,Quebec ville (universite),free,no,polysylend,C,C,M,Quebec,Canada,0
187724,155,cqajr1,st que0112 les juste,ment les gars quabacois entreprenants passe0412n,s,t,ə,m,1322,Quebec ville (universite),free,yes,polysyl2,C,C,F,Quebec,Canada,1
187726,157,cqajr1,"un, brasilien juste","ment il y avait fait aa lui il atait euh,",s,t,ə,m,1322,Quebec ville (universite),free,yes,polysyl2,C,C,F,Quebec,Canada,1
187732,163,cqajr1,n peutaat0452re que,"juste1322ment les gars,",R,k,ə,ʒ,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187733,164,cqajr1,0452re que1122 juste,"ment les gars,",s,t,ə,m,1322,Quebec ville (universite),free,yes,polysyl2,C,C,F,Quebec,Canada,1
187738,169,cqajr1,'est l'image0412 que,j'en ai euh.,ʒ,k,ə,ʒ,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187767,199,cqajs1,on mais comme0412 je,"te1122 dis euh,",m,ʒ,ə,t,0122,Quebec ville (universite),free,no,monosyl,C,C,M,Quebec,Canada,0
187768,200,cqajs1,comme0412 je0122 te,"dis euh,",ʒ,t,ə,d,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
187770,202,cqajs1,eut dapend0452re de,la perception mais comme0412 je0122 te1122 dis eu,R,d,ə,l,0122,Quebec ville (universite),free,no,monosyl,C,C,M,Quebec,Canada,0
187775,207,cqamg1,MG: Parce0312 que,"tout, tout0411 euh, (FileMaker) puis euh,",s,k,ə,t,1422,Quebec ville (universite),free,yes,polysylend,C,C,F,Quebec,Canada,1
187777,209,cqamg1,", c'est, c'est juste",( de tout aa) des macros.,s,t,ə,?,1422,Quebec ville (universite),free,yes,polysylend,C,C,F,Quebec,Canada,1
187784,216,cqamg1,MG: Estce0312 que,aa se0212rait (XX) si on pouvait transfarer les,s,k,ə,s,1422,Quebec ville (universite),free,yes,polysylend,C,C,F,Quebec,Canada,1
187798,233,cqamg1,", les, les tests que",tu as fait0413.,t,k,ə,t,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187804,240,cqamg1,raconter ce0112 que,"tu as fait0412 tantat pour0412 l'ordi la, les,",s,k,ə,t,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187832,269,cqams1,c'est juste0412 que,"c'est beaucoup de0112 travail0413, la par0411 ex",t,k,ə,s,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187834,271,cqams1,as pas l'air0412 de,"trouver aa euh,",R,d,ə,t,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187841,278,cqams1,: ben ce soir0412 je,"vais travailler sur0411 euh, mes structure0412s s",R,ʒ,ə,v,0122,Quebec ville (universite),free,no,monosyl,C,C,F,Quebec,Canada,0
187852,289,cqams1,"Non, on parle0422 de",tout.,l,d,ə,t,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187866,303,cqamt1,s programme0412s que,"j'ouvrais,",m,k,ə,ʒ,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187880,317,cqaab1,x japonais.> quelque,s atape0412s qui sont. (rires),l,k,ə,z,1422,Quebec ville (universite),free,yes,polysylend,C,C,F,Quebec,Canada,1
187881,318,cqams1,c'est aa ce0112 que,"je0112 faisais c'est que1112 je l/ euh, je1132 le",s,k,ə,ʒ,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187890,328,cqams1,ns le0112 Sud0412 de,"l'Italie, j'atais a,",d,d,ə,l,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187897,335,cqamg1,a base2412 euh juste,"le1122 logiciel0413, tu as rien,",s,t,ə,l,0422,Quebec ville (universite),free,no,polysylend,C,C,F,Quebec,Canada,0
187898,336,cqajs1,eut dapend0452re de,l'endroit aussi mettons que0112 c'est un bar0411,R,d,ə,l,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
187902,340,cqags1,sports comme0412 le,baseball0411 ou.,m,l,ə,b,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
187918,356,cqags1,l0412s spor0412ts je,"veux dire0414 c'est, c'atait sare0312ment pas l",R,ʒ,ə,v,0122,Quebec ville (universite),free,no,monosyl,C,C,M,Quebec,Canada,0
187923,361,cqaab1,BB: Juste0412 te,"donner un conseil0413, cogne0412 pas ton coude041",t,t,ə,d,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187949,388,cqags1,nos goats se0112 re,ssemb0452lent beaucoup. Euh..,s,R,ə,s,1222,Quebec ville (universite),free,yes,polysyl1,C,C,M,Quebec,Canada,1
187960,399,cqajr1,tait mis a la porte,"du Dagober0413t,",R,t,ə,d,0422,Quebec ville (universite),free,no,polysylend,C,C,F,Quebec,Canada,0
187967,406,cqajr1,R: Qu'estce0312 que,"tu en pense0414s, Anne0312Marie.",s,k,ə,t,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187968,407,cqajr1,R: On discute0412 de,quoi euh?>,t,d,ə,k,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
187973,412,cqajs1,"euh, que1132 d'autre","s fois je0112 veux dire0413,",t,R,ə,f,1422,Quebec ville (universite),free,yes,polysylend,C,C,M,Quebec,Canada,1
187996,436,cqams1,mon mamoire0412 je,"travaille0412 sur0413, les emprunts anglais euh e",R,ʒ,ə,t,0122,Quebec ville (universite),free,no,monosyl,C,C,F,Quebec,Canada,0
188000,440,cqams1,ille0412 cent quatre,vingt cinq0412 forme1413s,t,R,ə,v,0322,Quebec ville (universite),free,no,polysyl2,C,C,F,Quebec,Canada,0
188013,453,cqams1,communs oui on parle,"de0421 euh.> Oui, une passion commune.",R,l,ə,d,0422,Quebec ville (universite),free,no,polysylend,C,C,F,Quebec,Canada,0
188020,460,cqamt1,MT: donc0412 je,pensais pouvoir0412 tout tester lade0312ssus pu,k,ʒ,ə,p,0122,Quebec ville (universite),free,no,monosyl,C,C,F,Quebec,Canada,0
188029,469,cqaab1,n avais marre0412 de,"discuter il nous a euh, Monsieur Durand nous a de",R,d,ə,d,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
188031,471,cqaab1,BB: Parce0312 que,tantat j'en avais marre0412 de1122 discuter il n,s,k,ə,t,1422,Quebec ville (universite),free,yes,polysylend,C,C,F,Quebec,Canada,1
188035,475,cqags1,m) le1132 mal0412 de,"vivre0421 euh, (Mon Dieu) quand, quand, quand tu",l,d,ə,v,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
188039,479,cqags1,"h, le1132 mal0412 de",vivre0423.(rire),l,d,ə,v,1122,Quebec ville (universite),free,yes,monosyl,C,C,M,Quebec,Canada,1
188054,496,cqams1,"MS: Non, on parle",de1122 tout.,R,l,ə,d,0422,Quebec ville (universite),free,no,polysylend,C,C,F,Quebec,Canada,0
188063,507,cqajs1,JF: c'est ouverte,"ment pour aller rencontrer quelqu'un, peutaat0453",R,t,ə,m,0322,Quebec ville (universite),free,no,polysyl2,C,C,M,Quebec,Canada,0
188078,522,cqams1,", hein parce0312 que","des fois, si tu vois un mot a l'acrit,",s,k,ə,d,1422,Quebec ville (universite),free,yes,polysylend,C,C,F,Quebec,Canada,1
188081,525,cqams1,ta faaon de0112 le,prononcer.,d,l,ə,p,1122,Quebec ville (universite),free,yes,monosyl,C,C,F,Quebec,Canada,1
