"Reference","Speaker","Codes","Context","C1","C2_","_C3","S1","S2_","_S3","C2stop","C1","C2_","_C3",,"2nd coder C1","2nd coder C2_","2nd coder _C3"
183885,"75clb1",1222,"ais à chaque pe tite vacance c’est-à-dire en gros tou","k","p","t",0,0,0,"y","k","p","t","* petite (not ""pe tite"")",,,
183963,"75csb1",1222,"fait tout le re crutement de tous les cadres alors","l","R","k",3,1,0,"n","l","R","k","* recrutement (not ""re crutement"")","l","R","k"
183973,"75csb1",1122,"c’est juste que c’était un petit débutant et qui n’y connai","t","k","s",0,0,1,"y","t","k","s",,,,
183980,"75csb1",122,"2 suis sûre que c’était trop un test.","R","k","s",1,0,1,"y","R","k","s",,,,
183985,"75csb1",1422,"e’ parce que je suis sûre que c’était trop un te","s","k","ʒ",1,0,1,"y","s","k","ʒ",,,,
183987,"75csb1",1122,"en sortant je me suis dit ’tu es trop conne’ parce que","ʒ","m","s",1,2,1,"n","ʒ","m","s",,,,
183990,"75csb1",1122,"n fait je me suis sentie hyper bien et en sortant je m","ʒ","m","s",1,2,1,"n","ʒ","m","s",,,,
183991,"75csb1",122,"c en fait je me suis sentie hyper bien et en sortant j","f","ʒ","m",1,1,2,"n","fɛ","ʒ","m","* intervening vowel",,,
184011,"75csb1",1122,"e ah oui> sur le site internet après non c’est tout.","R","l","s",1,3,1,"n","R","l","s",,,,
184014,"75csb1",1222,"vais en avoir retenu enfin tu vois","R","R","t",1,1,0,"n","R","R","t",,,,
184016,"75csb1",1122,"SB : Ce que je pouvais en avoir retenu enfin","s","k","ʒ",1,0,1,"y","s","k","ʒ",,"s","k","ʒ"
184020,"75csb1",1122,"ais été sur le site.","R","l","s",1,3,1,"n","R","l","s",,,,
184022,"75csb1",122,"2 lui dire comme j’avais été sur le site.","k","m","ʒ",0,2,1,"n","kɔ","m","ʒ","* intervening vowel",,,
184025,"75csb1",1422,"Ouais> parce que c’est moi qui avait envie de lui dire com","s","k","s",1,0,1,"y","s","k","s",,"s","k","s"
184029,"75csb1",1122,": ’Qu’est-ce que tu en as retenu ?’ je fais ’ben voil","s","k","t",1,0,0,"y","s","k","t",,,,
184033,"75csb1",1122,"is allée sur le site’ il m’a fait ’ah bon c’était bien euh’","R","l","s",1,3,1,"n","R","l","s",,,,
184038,"75csb1",422,"Je lui ai juste c’est moi qui lui ai donné des billes en fai","s","t","s",1,0,1,"y","s","t","s",,,,
184087,"75ccb2",1122,"0 épreuve de math une dictée euh.","v","d","m",1,0,2,"y","v","d","m",,,,
184099,"75ccm1",1122,"0 vais/ je me dis bon on est dans le contact un peu (X) che","ʒ","m","d",1,2,0,"n","ʒ","m","d",,,,
184106,"75ccm1",1122,"tout le monde te vouvoie euh parce que euh.","d","t","v",0,0,1,"y","d","t","v",,,,
184209,"75cac1",1122,": La période de chômage.","d","d","ʃ",0,0,1,"y","d","d","ʃ",,,,
184227,"75ccb2",322,"ement de voix) parce que euh d’ailleurs ça j’ai jamais compri","R","s","k",1,1,0,"n","R","s","k",,,,
184232,"75ccm1",422,"4s par exemple chez (X).","p","l","ʃ",0,3,1,"n","p","l","ʃ",,,,
184235,"75ccm1",422,"dépend du contexte tu vois alors par exemple chez (X).","s","t","t",1,0,0,"y","s","t","t","* x",,,
184239,"75ccm1",1122,"tu attendes que les gens te tutoient éventuellement. E :","d","k","l",0,0,3,"y","d","k","l",,,,
184251,"75ccm1",122,"c’est clair que ça viendra pas de/ de toi.","R","k","s",1,0,1,"y","R","k","s",,,,
184253,"75ccr1",422,"3 sais pas un texte du dix-septième non pas le C.A.P.E.S","s","t","d",1,0,0,"y","s","t","d",,,,
184257,"75ccr1",1122,"la version classique.","?","?","l","?","?",3,"n","?","?","l","* no left context",,,
184298,"75clb1",1422,"LB : Parce que les professeurs de math s’entende","s","k","l",1,0,3,"y","s","k","l",,"s","k","l"
184302,"75clb1",1122,"1 initiative de ce collège.","v","d","s",1,0,1,"y","v","d","s",,,,
184335,"75csb1",1422,"ie-toi parce que tu as l’impression qu’il est tout jeune q","s","k","t",1,0,0,"y","s","k","t",,,,
184337,"75csb1",1122,"au début je me suis dit ’méfie-toi parce que tu as l’im","ʒ","m","s",1,2,1,"n","ʒ","m","s",,,,
184351,"75csb1",422,"B : Mais là regarde j’ai une/ j’ai un exemple tu vois genre","R","d","ʒ",1,0,1,"y","R","d","ʒ",,,,
184370,"75ccb2",1222,"se faire re prendre par un.","R","R","p",1,1,0,"n","R","R","p","* reprendre (not ""re prendre"")",,,
184371,"75ccb2",422,"re reprendre par un.","d","R","p",0,1,0,"n","d","R","p",,,,
184389,"75clb1",122,"évident que je vais l’avoir’. E : Hum hum.","k","ʒ","v",0,1,1,"n","k","ʒ","v",,,,
