"Reference","Speaker","Codes","Context","C1","C2_","_C3","S1","S2_","_S3","C2stop","C1","C2_","_C3",,"2nd coder C1","2nd coder C2_","2nd coder _C3"
50157,"75clb1",1422,"jaloux de notre liberté.","t","R","l",0,1,3,"n","t","R","l",,,,
50162,"75clb1",1422,"Un jeune membre de l’opposition aurait déclaré :","b","R","d",0,1,0,"n","b","R","d",,,,
50166,"75clb1",1422,"s d’identité risquent de provoquer une explosion.","s","k","d",1,0,0,"y","s","k","d",,,,
50172,"75clb1",1122,"est fait pour le protéger.","R","l","p",1,3,0,"y","R","l","p",,,,
50175,"75clb1",1122,"et s’assure que tout est fait pour le protéger.","R","k","t",1,0,0,"y","R","k","t",,,,
50181,"75clb1",1322,"2re, le gouvernement prend contact avec la préfecture","R","n","m",1,2,2,"n","R","n","m",,,,
50182,"75clb1",1122,"ier Ministre, le gouvernement prend contact avec la pr","R","l","g",1,3,0,"n","R,","l","g",,,,
50185,"75clb1",1422,"D’un autre côté,","t","R","k",0,1,0,"n","t","R","k",,"t","R","k"
50189,"75clb1",1422,"bords manifestent leur colère.","s","t","l",1,0,3,"y","s","t","l",,,,
50455,"75csb1",1122,"en désespoir de cause,","R","d","k",1,0,0,"y","R","d","k",,,,
50468,"75csb1",1122,"que maire de Beaulieu ne sait plus à quel saint se","R","d","b",1,0,0,"y","R","d","b",,,,
50472,"75csb1",1122,"ans l’église de Saint-Martinville.","z","d","s",1,0,1,"y","z","d","s",,,,
50478,"75csb1",1422,"Quelques fanatiques auraient même entamé un je","l","k","f",3,0,1,"y","l","k","f",,"l","k","f"
50485,"75csb1",422,"que des activites des communes voisines","s","t","d",1,0,0,"y","s","t","d","* Typo","s","t","d"
50491,"75csb1",422,"Ouest -Liberté et le Nouvel Observateur","s","t","l",1,0,3,"y","s","t","l",,,,
50495,"75csb1",422,"quelques articles parus dans La Dépêche du Centre,","k","l","p",0,3,0,"n","k","l","p",,,,
50507,"75csb1",1422,"jaloux de notre liberté.","t","R","l",0,1,3,"n","t","R","l",,,,
50509,"75csb1",1122,"ne membre de l’opposition aurait déclaré :","R","d","l",1,0,3,"y","R","d","l",,,,
50511,"75csb1",422,"Un jeune membre de l’opposition aurait déclaré :","b","R","d",0,1,0,"n","b","R","d",,,,
50516,"75csb1",1422,"risquent de provoquer une explosion.","s","k","d",1,0,0,"y","s","k","d",,,,
50521,"75csb1",1122,"est fait pour le protéger.","R","l","p",1,3,0,"n","R","l","p",,,,
50524,"75csb1",1122,"et s’assure que tout est fait pour le protéger.","R","k","t",1,0,0,"y","R","k","t",,"R","k","t"
50530,"75csb1",1322,"le gouvernement prend contact avec la préfecture","R","n","m",1,2,2,"n","R","n","m",,,,
50534,"75csb1",1422,"D’un autre côté,","t","R","k",0,1,0,"n","t","R","k",,,,
50537,"75csb1",1422,"manifestent leur colère.","s","t","l",1,0,3,"y","s","t","l",,,,
50555,"75csb1",1122,"ne cesse de baisser depuis les élections.","s","d","b",1,0,0,"y","s","d","b",,"s","d","b"
50706,"75cac1",1122,"car le Premier Ministre, lassé des circuits habitue","R","l","p",1,3,0,"n","R","l","p",,,,
50717,"75cac1",1122,"nt, son usine de pâtes italiennes.","n","d","p",2,0,0,"y","n","d","p",,,,
50721,"75cac1",1122,"ux olympiques de Berlin en dix-neuf cent trente six","k","d","b",0,0,0,"y","k","d","b",,,,
50726,"75cac1",1122,"hampion local de course à pied","l","d","k",3,0,0,"y","l","d","k",,,,
50731,"75ccb2",1422,"1 Beaulieu - Marc Blanc - est en revanche très inquiet","R","k","b",1,0,0,"y","R","k","b",,,,
50733,"75ccb2",1122,"Le maire de Beaulieu - Marc Blanc - est en revanche","R","d","b",1,0,0,"y","R","d","b",,,,
50739,"75ccb2",1122,"ut découvrir ce qu’il appelle ’ la campagne profonde","R","s","k",1,1,0,"n","R","s","k",,,,
50746,"75ccb2",1422,"1 Premier Ministre, lassé des circuits habituels qui tournaient","t","R","l",0,1,3,"n","t","R","l",,,,
50748,"75ccb2",1122,"0ment, car le Premier Ministre, lassé des circuits habitue","R","l","p",1,3,0,"n","R","l","p",,,,
50758,"75ccb2",1122,"ent son usine de pâtes italiennes.","n","d","p",2,0,0,"y","n","d","p",,,,
50764,"75ccb2",1122,"ux olympiques de Berlin en dix-neuf cent trente six","k","d","b",0,0,0,"y","k","d","b",,,,
50771,"75ccm1",1122,"ne cesse de baisser depuis les élections.","s","d","b",1,0,0,"y","s","d","b",,,,
50773,"75ccm1",1422,"du Premier Ministre ne cesse de baisser depuis les é","t","R","n",0,1,2,"n","t","R","n",,,,
50774,"75ccm1",1122,"mier Ministre ne cesse de baisser depuis les élection","R","n","s",1,2,1,"n","R","n","s",,"R","n","s"
50776,"75ccm1",422,"1 Beaulieu - Marc Blanc - est en revanche très inquiet.","R","k","b",1,0,0,"y","R","k","b",,,,
50778,"75ccm1",1122,"Le maire de Beaulieu - Marc Blanc - est en revanche","R","d","b",1,0,0,"y","R","d","b",,,,
50784,"75ccm1",1122,"ut découvrir ce qu’il appelle ’ la campagne profonde","R","s","k",1,1,0,"n","R","s","k",,,,
50791,"75ccm1",422,"1 Premier Ministre lassé des circuits habituels","t","R","l",0,1,3,"n","t","R","l",,,,
50792,"75ccm1",1122,"car le Premier Ministre lassé des circuits habituel","R","l","p",1,3,0,"n","R","l","p",,,,
50801,"75ccm1",1122,"ent son usine de pâtes italiennes.","n","d","p",2,0,0,"y","n","d","p",,,,
50808,"75ccm1",1122,"ux olympiques de Berlin en mille neuf cent trente six","k","d","b",0,0,0,"y","k","d","b",,,,
50812,"75ccr1",1122,"ut découvrir ce qu’il appelle ’ la campagne profonde","R","s","k",1,1,0,"n","R","s","k",,,,
50819,"75ccr1",422,"1 Premier Ministre, lassé des circuits habituels","t","R","l",0,1,3,"n","t","R","l",,,,
50820,"75ccr1",1122,"car le Premier Ministre, lassé des circuits habitue","R","l","p",1,3,0,"n","R","l","p",,,,
50831,"75ccr1",1122,"nt, son usine de pâtes italiennes.","n","d","p",2,0,0,"y","n","d","p",,,,
50836,"75ccr1",1122,"ux olympiques de Berlin en mille neuf cent trente six","k","d","b",0,0,0,"y","k","d","b",,,,
50919,"75clb1",1122,"ne cesse de baisser depuis les élections.","s","d","b",1,0,0,"y","s","d","b",,"s","d","b"
50925,"75clb1",1422,"1 Beaulieu - Marc Blanc -","R","k","b",1,0,0,"y","R","k","b",,,,
50926,"75clb1",1122,"Le maire de Beaulieu - Marc Blanc -","R","d","b",1,0,0,"y","R","d","b",,,,
50933,"75clb1",1122,"ut découvrir ce qu’il appelle ’ la campagne profonde","R","s","k",1,1,0,"n","R","s","k",,,,
50940,"75clb1",422,"1 Premier Ministre, lassé des circuits habituels qui tournaient","t","R","l",0,1,3,"n","t","R","l",,,,
50941,"75clb1",1122,"0ment, car le Premier Ministre, lassé des circuits habitue","R","l","p",1,3,0,"n","R","l","p",,,,
50948,"75clb1",1122,"grand honneur ?","?","?","g","?","?",0,"n","?","?","g","* Missing left context",,,
50953,"75clb1",1122,"nt, son usine de pâtes italiennes.","n","d","p",2,0,0,"y","n","d","p",,,,
50958,"75clb1",1122,"ux olympiques de Berlin en dix-neuf cent trente-six","k","d","b",0,0,0,"y","k","d","b",,,,
51030,"75csb1",1122,"mier Ministre ne cesse de baisser depuis les élection","R","n","s",1,2,1,"n","R","n","s",,,,
51031,"75csb1",422,"du Premier Ministre ne cesse de baisser depuis les é","t","R","n",0,1,2,"n","t","R","n",,,,
51035,"75csb1",1122,"Le maire de Beaulieu - Marc Blanc -","R","d","b",1,0,0,"y","R","d","b",,,,
51036,"75csb1",422,"1 Beaulieu - Marc Blanc -","R","k","b",1,0,0,"y","R","k","b",,,,
51043,"75csb1",1122,"ut découvrir ce qu’il appelle ’ la campagne profonde","R","s","k",1,1,0,"n","R","s","k",,,,
51051,"75csb1",1122,"car le Premier Ministre,","R","l","p",1,3,0,"n","R","l","p",,"R","l","p"
51062,"75csb1",1122,"nt, son usine de pâtes italiennes.","n","d","p",2,0,0,"y","n","d","p",,,,
51068,"75csb1",1122,"ux olympiques de Berlin en mille neuf cent trente-six","k","d","b",0,0,0,"y","k","d","b",,,,
51120,"75cac1",1122,"de gloire de Beaulieu étaient son vin blanc sec,","R","d","b",1,0,0,"y","R","d","b",,,,
51123,"75cac1",1422,"les seuls titres de gloire de Beaulieu étaient son v","t","R","d",0,1,0,"n","t","R","d",,,,
51126,"75cac1",1122,"0 au cours de sa tournée de la région en fin d’année.","R","d","s",1,0,1,"y","R","d","s",,,,
51130,"75ccb2",1122,"hampion local de course à pied (Louis Garret)","l","d","k",3,0,0,"y","l","d","k",,,,
51135,"75ccb2",1122,"de gloire de Beaulieu étaient son vin blanc sec, et ses c","R","d","b",1,0,0,"y","R","d","b",,,,
51138,"75ccb2",1422,"les seuls titres de gloire de Beaulieu étaient son v","t","R","d",0,1,0,"n","t","R","d",,,,
51141,"75ccm1",1122,"hampion local de course à pied (Louis Garret)","l","d","k",3,0,0,"y","l","d","k",,,,
51146,"75ccm1",1122,"de gloire de Beaulieu étaient son vin blanc sec,","R","d","b",1,0,0,"y","R","d","b",,,,
51149,"75ccm1",1422,"les seuls titres de gloire de Beaulieu étaient son v","t","R","d",0,1,0,"n","t","R","d",,,,
51153,"75ccr1",1122,"hampion local de course à pied (Louis Garret),","l","d","k",3,0,0,"y","l","d","k",,,,
51158,"75ccr1",1122,"de gloire de Beaulieu","R","d","b",1,0,0,"y","R","d","b",,,,
51180,"75clb1",1122,"hampion local de course à pied (Louis Garret),","l","d","k",3,0,0,"y","l","d","k",,"l","d","k"
51185,"75clb1",1122,"de gloire de Beaulieu étaient son vin blanc sec,","R","d","b",1,0,0,"y","R","d","b",,,,
51187,"75clb1",1122,"ls titres de gloire de Beaulieu étaient son vin blanc","R","d","g",1,0,0,"y","R","d","g",,,,
51211,"75csb1",1122,"hampion local de course à pied (Louis Garret),","l","d","k",3,0,0,"y","l","d","k",,,,
51216,"75csb1",1122,"de gloire de Beaulieu","R","d","b",1,0,0,"y","R","d","b",,,,
51218,"75csb1",1122,"ls titres de gloire de Beaulieu","R","d","g",1,0,0,"y","R","d","g",,"R","d","g͡l"
51251,"75cac1",1122,"e village de Beaulieu est en grand émoi.","ʒ","d","b",1,0,0,"y","ʒ","d","b",,,,
51259,"75ccb2",1122,"0 au cours de sa tournée de la région en fin d’année.","R","d","s",1,0,1,"y","R","d","s",,,,
51268,"75ccb2",1122,"e village de Beaulieu est en grand émoi.","ʒ","d","b",1,0,0,"y","ʒ","d","b",,,,
